code_module,code_presentation,guid_student_id,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,imputed_demo,imd_band_ord,age_band_ord,n_assessments,n_finished,mean_score_raw,submission_rate,weighted_score,n_exam,total_clicks,mean_clicks,active_sessions,active_weeks,n_resource_types,y_pass,risk_composite,y_risk_ordinal,y_score_reg,cluster
EG043,2024J,E23A142D-11F3-4176-840A-371961049081,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,1.0,15.0,N,inProgress,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,D11D399A-33AB-4817-9497-AA7C8DC7F5D8,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,11.0,N,inProgress,0,2,0,3.0,1.0,1.4433333333333334,0.3333333333333333,4.33,1.0,64.0,9.142857142857142,7.0,4.0,2.0,1,0.1847890724062648,1,4.33,1
EG043,2024J,48C0A556-7910-4BEC-AA73-50D9D53B50A0,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,19.0,N,inProgress,0,2,0,8.0,0.0,0.0,0.0,0.0,2.0,242.0,8.066666666666666,30.0,7.0,6.0,0,-0.3469509071387239,1,0.0,0
EG043,2024J,4A07CB6A-7D5F-4A52-9737-BDB9FD433C7A,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,4.0,N,inProgress,0,2,0,9.0,2.0,0.4977777777777778,0.2222222222222222,2.48,2.0,198.0,4.829268292682927,41.0,4.0,6.0,1,0.09432892431413767,1,2.48,1
EG043,2024J,91896811-FD4A-4F7B-9ED1-DD6A072D4D27,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,0A602A5F-A186-4BA2-91A2-4AE7A61F7003,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,3.0,28.0,N,inProgress,0,2,0,8.0,2.0,1.13375,0.25,4.55875,2.0,240.0,6.0,40.0,8.0,6.0,1,0.6503259619521824,2,4.55875,1
EG043,2024J,694BD77F-FF8A-485A-81E4-326FDE38E783,M,Cleveland DSC,A Level or Equivalent,20-30%,30-35,2.0,8.0,N,inProgress,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,6.0,2.0,3.0,0,-0.8896182904140438,0,0.0,0
EG043,2024J,82B1D907-9F15-438D-A945-112CFF77717F,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,13.0,N,inProgress,0,2,0,8.0,1.0,0.04,0.125,0.12,2.0,316.0,9.875,32.0,7.0,6.0,0,-0.14597803667855663,1,0.12,0
EG043,2024J,3700CDCB-53DD-48F7-A67E-13C2577B630A,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,DED7706B-0D0D-40B7-8055-8738D5A8E52E,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,18.0,N,inProgress,0,2,0,10.0,3.0,0.985,0.3,3.6554545454545457,3.0,412.0,6.5396825396825395,63.0,8.0,6.0,1,0.8576059210981037,2,3.6554545454545457,1
EG043,2024J,4ED1FDF5-3F90-4F34-89C7-6D2065E24E28,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,DC5D58D1-647B-46C9-8D18-A197A05D7DD8,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.9179313712805823,0,0.0,0
EG043,2024J,A65162B8-008C-454E-8528-BAAD4281787B,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,8.0,N,inProgress,0,2,0,10.0,2.0,1.1560000000000001,0.2,4.44,3.0,337.0,9.36111111111111,36.0,5.0,6.0,1,0.8530892390323739,2,4.44,1
EG043,2024J,FB48F179-D3F8-43BB-A2A9-B58938F29AD6,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,8.0,N,inProgress,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.625,8.0,3.0,3.0,0,-0.8872588670084989,0,0.0,0
EG043,2024J,C778BA42-A984-40C4-8930-6B3C3E64A29A,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress,0,2,0,10.0,3.0,1.198,0.3,4.358181818181818,3.0,345.0,5.476190476190476,63.0,6.0,6.0,1,0.8539813046063827,2,4.358181818181818,1
EG043,2024J,B4B4CB24-7630-423B-AC67-CBFAFC082D89,M,Cleveland DSC,A Level or Equivalent,60-70%,30-35,1.0,0.0,N,inProgress,0,6,3,11.0,3.0,1.0036363636363637,0.2727272727272727,4.465454545454546,3.0,428.0,6.7936507936507935,63.0,8.0,6.0,1,1.073391580123288,2,4.465454545454546,1
EG043,2024J,35C18F02-0E4B-4072-AF6E-AFD05A53C3E0,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress,0,2,0,12.0,2.0,0.9500000000000001,0.16666666666666666,6.525,2.0,418.0,9.5,44.0,7.0,6.0,1,1.5024775154475982,2,6.525,1
EG043,2024J,FCECB3F9-ADBA-45BD-A071-0C5E848C8E40,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress,0,2,0,9.0,1.0,0.7222222222222222,0.1111111111111111,4.0625,2.0,332.0,6.036363636363636,55.0,6.0,6.0,1,0.758319073964506,2,4.0625,1
EG043,2024J,238C9CBE-21EA-44E4-B9C7-49BA453FE530,F,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress,0,6,0,12.0,3.0,1.6983333333333333,0.25,7.194545454545454,3.0,657.0,6.19811320754717,106.0,8.0,6.0,1,2.2135432250418536,2,7.194545454545454,1
EG043,2024J,AA2C2692-7325-4902-9B1D-57697E3D090A,F,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress,0,6,0,11.0,3.0,0.7218181818181818,0.2727272727272727,2.9618181818181815,3.0,391.0,12.21875,32.0,8.0,6.0,1,0.6555994247541372,2,2.9618181818181815,1
EG043,2024J,D43A7DC0-08C9-4EE3-8E28-1959191D6E9D,M,Cleveland DSC,A Level or Equivalent,40-50%,18-20,1.0,0.0,N,inProgress,0,4,0,12.0,3.0,1.2491666666666668,0.25,5.846363636363637,3.0,600.0,9.836065573770492,61.0,7.0,6.0,1,1.7827309127354711,2,5.846363636363637,1
EG043,2024J,29A7E3CE-F3B4-48DE-9F7F-D1201F18819F,M,Wu DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,0,-0.9108531010639476,0,0.0,0
EG043,2024J,EBA9AA54-9762-4973-9C83-E2D59BE4E6F5,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress,0,2,0,6.0,1.0,0.6116666666666667,0.16666666666666666,3.6700000000000004,1.0,138.0,7.666666666666667,18.0,4.0,6.0,1,0.2143209429424273,1,3.6700000000000004,1
EG043,2024J,66ED6E86-9FC2-40EF-BF9A-7D97572D765D,M,Cleveland DSC,A Level or Equivalent,20-30%,30-35,1.0,0.0,N,inProgress,0,2,3,12.0,3.0,0.5666666666666667,0.25,2.9454545454545453,3.0,226.0,5.380952380952381,42.0,7.0,6.0,1,0.2626978985051638,1,2.9454545454545453,1
